52.18N,    4.42E,     210, Valkenburg
52.27N,    6.88E,     290, Twenthe
52.93N,    4.78E,     235, De_Kooy
51.45N,    3.60E,     310, Vlissingen
52.32N,    4.78E,     240, Schiphol
51.22N,    3.87E,     319, Westdorpe
53.23N,    4.92E,     242, Vlieland
51.53N,    3.88E,     323, Wilhelminadorp
52.65N,    4.98E,     249, Berkhout
51.98N,    4.12E,     330, Hoek_van_Holland
53.38N,    5.35E,     251, Hoorn_Terschelling
51.45N,    4.35E,     340, Woensdrecht
51.97N,    4.45E,     344, Rotterdam
52.10N,    5.18E,     260, De_Bilt
51.97N,    4.92E,     348, Cabauw
52.13N,    5.28E,     265, Soesterberg
51.57N,    4.93E,     350, Gilze-Rijen
52.90N,    5.38E,     267, Stavoren
51.85N,    5.15E,     356, Herwijnen
52.45N,    5.52E,     269, Lelystad
51.45N,    5.38E,     370, Eindhoven
53.22N,    5.75E,     270, Leeuwarden
51.65N,    5.70E,     375, Volkel
52.70N,    5.88E,     273, Marknesse
51.20N,    5.77E,     377, Ell
52.05N,    5.87E,     275, Deelen
50.90N,    5.77E,    1380, Maastricht
53.42N,    6.20E,     277, Lauwersoog
51.50N,    6.20E,     391, Arcen
52.43N,    6.27E,     278, Heino
52.75N,    6.57E,     279, Hoogeveen
53.12N,    6.58E,     280, Eelde
52.07N,    6.65E,     283, Hupsel
53.20N,    7.15E,     286, Nieuw_Beerta
